from,to,movers
Montana,Iowa,421
Nebraska,Iowa,7341
Nevada,Iowa,906
New Hampshire,Iowa,0
New Jersey,Iowa,169
New Mexico,Iowa,20
New York,Iowa,845
North Carolina,Iowa,1812
North Dakota,Iowa,99
Ohio,Iowa,409
Oklahoma,Iowa,630
Oregon,Iowa,460
Pennsylvania,Iowa,669
Rhode Island,Iowa,0
South Carolina,Iowa,299
South Dakota,Iowa,2209
Tennessee,Iowa,1324
Texas,Iowa,3634
Utah,Iowa,99
Vermont,Iowa,99
Virginia,Iowa,1094
Washington,Iowa,1022
West Virginia,Iowa,0
Wisconsin,Iowa,3321
Wyoming,Iowa,343
Puerto Rico,Iowa,0
Alabama,Kansas,881
Alaska,Kansas,174
Arizona,Kansas,2365
Arkansas,Kansas,884
California,Kansas,3160
Colorado,Kansas,4591
Connecticut,Kansas,92
Delaware,Kansas,61
District of Columbia ,Kansas,0
Florida,Kansas,2737
Georgia,Kansas,1737
Hawaii,Kansas,0
Idaho,Kansas,925
Illinois,Kansas,1906
Indiana,Kansas,846
Iowa,Kansas,1648
Kansas,Kansas,
Kentucky,Kansas,969
Louisiana,Kansas,1643
Maine,Kansas,0
Maryland,Kansas,443
Massachusetts,Kansas,97
Michigan,Kansas,1369
Minnesota,Kansas,1478
Mississippi,Kansas,326
Missouri,Kansas,18573
Montana,Kansas,75
Nebraska,Kansas,3841
Nevada,Kansas,2049
New Hampshire,Kansas,320
New Jersey,Kansas,543
New Mexico,Kansas,267
New York,Kansas,1505
North Carolina,Kansas,494
North Dakota,Kansas,689
Ohio,Kansas,2050
Oklahoma,Kansas,3534
Oregon,Kansas,248
Pennsylvania,Kansas,1176
Rhode Island,Kansas,21
South Carolina,Kansas,218
South Dakota,Kansas,354
Tennessee,Kansas,1480
Texas,Kansas,7229
Utah,Kansas,131
Vermont,Kansas,0
Virginia,Kansas,1827
Washington,Kansas,980
West Virginia,Kansas,96
Wisconsin,Kansas,609
Wyoming,Kansas,497
Puerto Rico,Kansas,574
Alabama,Kentucky,1496
Alaska,Kentucky,549
Arizona,Kentucky,2484
Arkansas,Kentucky,373
California,Kentucky,5838
Colorado,Kentucky,1858
Connecticut,Kentucky,138
Delaware,Kentucky,0
District of Columbia ,Kentucky,133
Florida,Kentucky,5243
Georgia,Kentucky,3491
Hawaii,Kentucky,1020
Idaho,Kentucky,610
Illinois,Kentucky,4407
Indiana,Kentucky,8310
Iowa,Kentucky,577
Kansas,Kentucky,502
Kentucky,Kentucky,
Louisiana,Kentucky,2343
Maine,Kentucky,160
Maryland,Kentucky,633
Massachusetts,Kentucky,245
Michigan,Kentucky,3619
Minnesota,Kentucky,229
Mississippi,Kentucky,94
Missouri,Kentucky,1734
Montana,Kentucky,758
Nebraska,Kentucky,93
Nevada,Kentucky,1445
New Hampshire,Kentucky,3667
New Jersey,Kentucky,388
New Mexico,Kentucky,0
New York,Kentucky,2370
North Carolina,Kentucky,2452
North Dakota,Kentucky,0
Ohio,Kentucky,13249
Oklahoma,Kentucky,1451
Oregon,Kentucky,396
Pennsylvania,Kentucky,2282
Rhode Island,Kentucky,0
South Carolina,Kentucky,1126
South Dakota,Kentucky,841
Tennessee,Kentucky,14444
Texas,Kentucky,5471
Utah,Kentucky,259
Vermont,Kentucky,0
Virginia,Kentucky,2754
Washington,Kentucky,4273
West Virginia,Kentucky,1565
Wisconsin,Kentucky,1427
Wyoming,Kentucky,0
Puerto Rico,Kentucky,0
Alabama,Louisiana,2558
Alaska,Louisiana,229
Arizona,Louisiana,669
Arkansas,Louisiana,3228
California,Louisiana,2424
Colorado,Louisiana,777
Connecticut,Louisiana,778
Delaware,Louisiana,0
District of Columbia ,Louisiana,0
Florida,Louisiana,4686
Georgia,Louisiana,2407
Hawaii,Louisiana,313
Idaho,Louisiana,1306
Illinois,Louisiana,1289
Indiana,Louisiana,854
Iowa,Louisiana,104
Kansas,Louisiana,789
Kentucky,Louisiana,207
Louisiana,Louisiana,
Maine,Louisiana,0
Maryland,Louisiana,1289
Massachusetts,Louisiana,1025
Michigan,Louisiana,257
Minnesota,Louisiana,1262
Mississippi,Louisiana,7272
Missouri,Louisiana,977
Montana,Louisiana,458
Nebraska,Louisiana,0
Nevada,Louisiana,2865
New Hampshire,Louisiana,166
New Jersey,Louisiana,945
New Mexico,Louisiana,88
New York,Louisiana,532
North Carolina,Louisiana,2261
North Dakota,Louisiana,1345
Ohio,Louisiana,453
Oklahoma,Louisiana,846
Oregon,Louisiana,550
Pennsylvania,Louisiana,533
Rhode Island,Louisiana,0
South Carolina,Louisiana,338
South Dakota,Louisiana,830
Tennessee,Louisiana,1883
Texas,Louisiana,18446
Utah,Louisiana,179
Vermont,Louisiana,0
Virginia,Louisiana,1188
Washington,Louisiana,752
West Virginia,Louisiana,56
Wisconsin,Louisiana,50
Wyoming,Louisiana,0
Puerto Rico,Louisiana,339
Alabama,Maine,124
Alaska,Maine,274
Arizona,Maine,375
Arkansas,Maine,56
California,Maine,1553
Colorado,Maine,1178
Connecticut,Maine,948
Delaware,Maine,226
District of Columbia ,Maine,0
Florida,Maine,4008
Georgia,Maine,81
Hawaii,Maine,140
Idaho,Maine,16
Illinois,Maine,1223
Indiana,Maine,0
Iowa,Maine,0
Kansas,Maine,77
Kentucky,Maine,48
Louisiana,Maine,18
Maine,Maine,
Maryland,Maine,700
Massachusetts,Maine,5670
Michigan,Maine,162
Minnesota,Maine,422
Mississippi,Maine,654
Missouri,Maine,2
Montana,Maine,15
Nebraska,Maine,30
Nevada,Maine,592
New Hampshire,Maine,5715
New Jersey,Maine,1137
New Mexico,Maine,116
New York,Maine,2330
North Carolina,Maine,609
North Dakota,Maine,126
Ohio,Maine,755
Oklahoma,Maine,0
Oregon,Maine,469
Pennsylvania,Maine,1454
Rhode Island,Maine,528
South Carolina,Maine,741
South Dakota,Maine,0
Tennessee,Maine,467
Texas,Maine,1925
Utah,Maine,91
Vermont,Maine,706
Virginia,Maine,1022
Washington,Maine,689
West Virginia,Maine,586
Wisconsin,Maine,31
Wyoming,Maine,0
Puerto Rico,Maine,0
Alabama,Maryland,431
Alaska,Maryland,142
Arizona,Maryland,2202
Arkansas,Maryland,128
California,Maryland,10051
Colorado,Maryland,1276
Connecticut,Maryland,1908
Delaware,Maryland,5245
District of Columbia ,Maryland,20296
Florida,Maryland,8205
Georgia,Maryland,3790
